Edad;TipoTrabajo;NivelEducativo;AnnosEducacion;EstadoCivil;Ocupacion;Sexo;HorasSemanales;PaisOrigen;Ingresos
39;State-gov;Bachelors;13;Never-married;Adm-clerical;Male;40;United-States;<=50K.
50;Self-emp-not-inc;Bachelors;13;Married-civ-spouse;Exec-managerial;Male;13;United-States;<=50K.
38;Private;HS-grad;9;Divorced;Handlers-cleaners;Male;40;United-States;<=50K.
53;Private;11th;7;Married-civ-spouse;Handlers-cleaners;Male;40;United-States;<=50K.
28;Private;Bachelors;13;Married-civ-spouse;Prof-specialty;Female;40;Cuba;<=50K.
37;Private;Masters;14;Married-civ-spouse;Exec-managerial;Female;40;United-States;<=50K.
49;Private;9th;5;Married-spouse-absent;Other-service;Female;16;Jamaica;<=50K.
52;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Exec-managerial;Male;45;United-States;>50K.
31;Private;Masters;14;Never-married;Prof-specialty;Female;50;United-States;>50K.
42;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
37;Private;Some-college;10;Married-civ-spouse;Exec-managerial;Male;80;United-States;>50K.
30;State-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Male;40;India;>50K.
23;Private;Bachelors;13;Never-married;Adm-clerical;Female;30;United-States;<=50K.
32;Private;Assoc-acdm;12;Never-married;Sales;Male;50;United-States;<=50K.
40;Private;Assoc-voc;11;Married-civ-spouse;Craft-repair;Male;40;?;>50K.
34;Private;7th-8th;4;Married-civ-spouse;Transport-moving;Male;45;Mexico;<=50K.
25;Self-emp-not-inc;HS-grad;9;Never-married;Farming-fishing;Male;35;United-States;<=50K.
32;Private;HS-grad;9;Never-married;Machine-op-inspct;Male;40;United-States;<=50K.
38;Private;11th;7;Married-civ-spouse;Sales;Male;50;United-States;<=50K.
43;Self-emp-not-inc;Masters;14;Divorced;Exec-managerial;Female;45;United-States;>50K.
40;Private;Doctorate;16;Married-civ-spouse;Prof-specialty;Male;60;United-States;>50K.
54;Private;HS-grad;9;Separated;Other-service;Female;20;United-States;<=50K.
35;Federal-gov;9th;5;Married-civ-spouse;Farming-fishing;Male;40;United-States;<=50K.
43;Private;11th;7;Married-civ-spouse;Transport-moving;Male;40;United-States;<=50K.
59;Private;HS-grad;9;Divorced;Tech-support;Female;40;United-States;<=50K.
56;Local-gov;Bachelors;13;Married-civ-spouse;Tech-support;Male;40;United-States;>50K.
19;Private;HS-grad;9;Never-married;Craft-repair;Male;40;United-States;<=50K.
54;?;Some-college;10;Married-civ-spouse;?;Male;60;South;>50K.
39;Private;HS-grad;9;Divorced;Exec-managerial;Male;80;United-States;<=50K.
49;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
23;Local-gov;Assoc-acdm;12;Never-married;Protective-serv;Male;52;United-States;<=50K.
20;Private;Some-college;10;Never-married;Sales;Male;44;United-States;<=50K.
45;Private;Bachelors;13;Divorced;Exec-managerial;Male;40;United-States;<=50K.
30;Federal-gov;Some-college;10;Married-civ-spouse;Adm-clerical;Male;40;United-States;<=50K.
22;State-gov;Some-college;10;Married-civ-spouse;Other-service;Male;15;United-States;<=50K.
48;Private;11th;7;Never-married;Machine-op-inspct;Male;40;Puerto-Rico;<=50K.
21;Private;Some-college;10;Never-married;Machine-op-inspct;Male;40;United-States;<=50K.
19;Private;HS-grad;9;Married-AF-spouse;Adm-clerical;Female;25;United-States;<=50K.
31;Private;Some-college;10;Married-civ-spouse;Sales;Male;38;?;>50K.
